Text;Emotion;Translated_Text
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special;joy;saya kehilangan pikiran khusus saya tapi jangan khawatir saya m masih waras saya hanya ingin Anda merasa apa yang saya rasakan ketika membaca buku ini saya tidak tahu berapa kali dikatakan bahwa sam adalah khusus tapi saya dapat menjamin Anda itu lebih banyak kali daripada apa yang saya gunakan di paragraf itu saya katakan dia adalah khusus
i can t let go of that sad feeling that i want to be accepted here in this first home of mine;love;aku tidak bisa melepaskan perasaan sedih bahwa aku ingin diterima di sini di rumah pertamaku
on a boat trip to denmark;joy;dalam perjalanan perahu ke denmark
i stopped feeling cold and began feeling hot;anger;i berhenti merasa dingin dan mulai merasa panas
i need to feel the dough to make sure its just perfect;joy;aku perlu merasakan adonan untuk memastikan yang hanya sempurna
i found myself feeling a little discouraged that morning;sadness;i mendapati diri saya merasa sedikit patah semangat pagi itu
i feel selfish and spoiled;anger;i merasa egois dan manja
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended;fear;i was stymied sedikit karena saya menulis merasa tidak yakin bahwa saya mungkin pergi ke suatu tempat dengan cerita uninthended
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u;joy;i tas qaf melihat siapa yang menangis sekarang jacynthe tampak baik merasa cantik Rupaul kulit gunting adik valentine matahari muak Kayle yang s ayahmu gerling terjaga u tidak ramah
i feel you know basically like a fake in the realm of science fiction;sadness;i merasa Anda tahu pada dasarnya seperti palsu di dunia fiksi ilmiah
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave;sadness;aku benci tinggal di bawah atap ayahku karena itu memberinya alasan untuk menjadi bajingan bagi saya karena dia menyediakan bagi saya untuk tinggal di sini saya pikir dia merasa bahwa ia perlu membuat saya merasa tidak diinginkan sebagai mungkin begitu sakit meninggalkan
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations;surprise;i terus merasa senang terkejut pada dukungan nya dan juga kemudahan dalam situasi baru
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off;joy;aku punya perasaan bahwa jika aku memiliki lagi kegiatan seksual yang kuat dalam kedatangan ya aku salah ejal bahwa sebagai bagian hari-hari cumming dari saya akan mulai jatuh
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal;joy;i feel my mom s gracious warm loveing smile as i rob the time to bourry myself and heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff;joy;i merasa dalam mereka berbicara saudara ipar sangat populer salah satu yang tidak memiliki saya untuk berpikir begitu kaku
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level;love;i makan saya bisa merasa geli lembut hampir seluruh seolah-olah saya merasa penyembuhan terjadi pada tingkat sel
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants;fear;i merasa seperti kita ditekan menjadi muda yang indah tipis dan tergantung pada tren memiliki gadis-gadis diremajakan kembali atau implan pantat
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations;fear;i mulai memiliki mereka beberapa kali seminggu merasa disiksa oleh halusinasi bergerak orang dan angka suara dan getaran
i am now nearly finished the week detox and i feel amazing;surprise;saya sekarang hampir selesai detoks minggu dan saya merasa menakjubkan
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own;anger;i merasa egois saat saya membaca kembali ke posting mantan saya bagaimana saya tidak pernah meminta doa bagi orang lain bagaimana saya tidak pernah dianggap bahwa mungkin ada orang lain di luar sana yang layak mereka doa dijawab sebelum saya sendiri
i know the pain parents feel when an enraged child becomes violent;anger;i know the pain parents feel when an cherage child becomes violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming;sadness;Saya telah berada di roller coaster emosi atas perasaan ini seharusnya sesuatu yang tidak menyenangkan akan datang
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith;love;saya kira kebenaran saya sendiri perlu dibagi saya belum merasa sangat setia akhir-akhir ini saya telah tinggal lebih dalam keraguan dan ketidakpastian daripada yang saya miliki dalam iman
i was feeling brave when i bought it and clearly when i was doing my makeup;joy;i merasa berani ketika saya membelinya dan jelas ketika saya sedang melakukan makeup saya
i am feeling miserable but c i am also the proudest mum on earth;sadness;saya merasa sengsara tapi c saya juga ibu paling bangga di bumi
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic;sadness;Saya pikir keluarga saya mencintai kami tidak peduli apa tapi di sekitar orang lain saya merasa malu ketika michelle pergi balistik
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals;joy;"i don apos; t selalu berpikir bom f dan seks diperlukan dalam semua cerita tapi saya merasa yakin ketika saya melihat mereka dalam jurnal cetak"
i can feel my ovaries aching talking to me as i like to put it;sadness;aku bisa merasakan sakit indung telurku berbicara padaku seperti yang aku ingin katakan
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff;sadness;aku tidak merasa seperti melakukan banyak chris dan aku kebanyakan hanya mengambil terlalu banyak gambar hal-hal yang tidak penting
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well;sadness;aku lelah buku dan siap untuk memilikinya keluar dari sini dan mencari tahu bahwa aku diberikan gambar yang tidak sesuai dan kemudian merasa disalahkan untuk hasilnya tidak duduk dengan baik
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs;joy;saya berhasil meregang kanvas mxm saya merasa bahwa ini adalah prestasi dalam dirinya sendiri bagi saya dan adalah penggunaan berharga dari uang saya dan waktu saya akan menggunakan kanvas untuk singkat masa depan
i think feelings are one of nay the most important things we have;joy;i think perasaan adalah salah satu nay hal yang paling penting yang kita miliki
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman;joy;Saya merasa sangat terhormat menjadi pengaruh untuk ini muda berbakat sepenuhnya hidup gadis cantik
i feel angered and firey;anger;aku merasa marah dan berapi-api
i feel like a miserable piece of garbage;sadness;i merasa seperti sepotong menyedihkan sampah
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything;anger;i merasa seperti saya perlu membuat daftar Leanne akan terkejut pada pikiran sehingga saya tidak melewatkan apa-apa
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner;anger;i mengemudi dannika ke sekolah saya merasa sedikit terburu-buru dan ini adalah apa yang menyambut saya saat saya berbalik sudut
i remember feeling so hellip furious with the shooter;anger;Aku ingat merasa sangat marah dengan penembaknya.
i feel very happy and excited since i learned so many things;joy;aku merasa sangat senang dan bersemangat karena aku belajar banyak hal
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently;joy;saya merasa bahwa pada acara dan sekitar menunjukkan orang-orang percaya dan santai karena kebanyakan kuda menunjukkan aman dan tenang dan ditangani sering
i only have a couple of things left to make and at the start of december i am done and feeling smug;joy;saya hanya memiliki beberapa hal yang tersisa untuk membuat dan pada awal december saya sudah selesai dan merasa puas
i think about how u could make me feel and realize that everything will be ok;joy;i think about how u could make me feel and realize that everything will be ok
i feel so worthless during those times i was struggling finding work;sadness;i merasa begitu berharga selama waktu itu saya berjuang mencari pekerjaan
i will be able to lay on my bed in the dark and not feel terrified at least for a while;fear;Aku akan berbaring di tempat tidurku dalam gelap dan tidak merasa takut setidaknya untuk sementara waktu
i was ready to meet mom in the airport and feel her ever supportive arms around me;love;i siap untuk bertemu ibu di bandara dan merasa dia pernah mendukung lengan di sekitar saya
im feeling bitter today my mood has been strange the entire day so i guess its that;anger;aku merasa pahit hari ini suasana hati saya telah aneh sepanjang hari jadi saya kira itu adalah bahwa
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours;sadness;ketika saudara ibu saya meninggal setelah terlibat dalam kecelakaan mobil dia membawa saya hadiah karena saya telah lulus bentuk saya lima ujian dengan warna terbang
i am letting go of the animosity that is towards anyone that i feel has wronged me;anger;aku melepaskan kebencian yang terhadap siapa pun yang aku rasa telah bersalah padaku
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home;love;i berbicara dengan anjing karena saya merasa mereka tidak bisa mengerti kata-kata tapi mereka bisa membaca emosi dan tahu bagaimana untuk mendukung saya memutuskan saya harus pulang
i feel like throwing away the shitty piece of shit paper;sadness;i merasa seperti membuang potongan sampah kertas
im starting to feel wryly amused at the banal comedy of errors my life is turning into;joy;Aku mulai merasa geli pada komedi banal kesalahan hidup saya berubah menjadi
i find every body beautiful and only want people to feel vital in their bodies;joy;i menemukan setiap tubuh yang indah dan hanya ingin orang merasa penting dalam tubuh mereka
i hear are owners who feel victimized by their associations the associations attorneys or the property manager;sadness;aku dengar adalah pemilik yang merasa korban oleh asosiasi mereka pengacara asosiasi atau manajer properti
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country;anger;aku mengucapkan selamat tinggal kepada keluarga mereka semua sedih menangis dan aku merasa seperti jalang tak berperasaan karena hei aku cukup bersemangat untuk terbang untuk pertama kalinya dan kau tahu juga untuk menghabiskan satu tahun di negara lain
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months;love;i wont membiarkan saya anak menangis keluar karena saya merasa bahwa mencintai dia dan lily ketika dia masih kecil akan menjadi kesempatan yang hanya berlangsung selama beberapa bulan singkat
i alba i feel good and im fitting in;joy;i alba i feel good and im fitting in
i feel excited about what im doing again i feel like i have a ton of catching up to do;joy;i merasa bersemangat tentang apa yang Im lakukan lagi saya merasa seperti saya memiliki ton penangkapan untuk melakukan
i also know how good it feels to look back and see that i honored my word and that helps from the start;joy;aku juga tahu bagaimana rasanya melihat ke belakang dan melihat bahwa aku menghormati kata-kataku dan itu membantu dari awal
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness;sadness;i berarti benar-benar kerja keras untuk mendapatkan seperti keterampilan teknis tinggi di wushu merasa agak malu tapi entah bagaimana termotivasi ketika saya melihat anak-anak melakukan kinerja wushu seluruh sepenuh hati meskipun kelelahan mereka
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me;joy;i merasa seperti hal-hal yang mendapatkan sedikit luar biasa beberapa spritz ini toner benar-benar membantu tenang dan menenangkan saya
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger;joy;Saya harap Anda menyadari betapa sedikit usaha diperlukan untuk membuat seseorang merasa lebih baik tentang diri mereka sendiri atau situasi mereka apakah itu saya anggota keluarga perguruan tinggi atau teman SMA tetangga di jalan atau bahkan orang asing
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street;joy;saya merasa begitu meriah hari ini bahwa i m bahkan akan meletakkan pohon up segera setelah saya telah selesai melakukan hal ini dan mengejar ketinggalan dengan minggu s ons pada penobatan jalan
finding out that i am not ill not seriously;joy;mengetahui bahwa saya tidak sakit tidak serius
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling;sadness;i did alright di kelas tetapi kombinasi merasa tidak berhasil menjadi manusia ditangani stres akhir-akhir ini dan minggu mengerikan saya mengakibatkan hampir menangis setelah saya selesai bergulat
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face;joy;saya merasa jarang kemajuan setiap tujuan berharga dan saya selalu berpegang pada aturan tidak posting apa-apa online bahwa saya tidak akan siap untuk mengatakan kepada wajah seseorang
i am feeling all useful;joy;aku merasa semua berguna
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain;love;i merasa seperti beberapa dari Anda memiliki rasa sakit dan Anda tidak bisa membayangkan menjadi bergairah tentang kelompok atau ide yang menyebabkan rasa sakit
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair;sadness;aku merasa jelek aku lebih cenderung memakai jeans usang dan sweater daripada gaun yang indah meskipun aku mungkin masih memakai sepasang sepatu hak tinggi di sekitar rumahku untuk meningkatkan harga diriku sedikit tapi aku pasti tidak akan repot-repot untuk membeli pasangan baru
im not feeling homesick yet so im feeling alright about this;sadness;Aku tidak merasa rindu rumah jadi aku merasa baik-baik saja tentang hal ini
i dance i should feel pretty;joy;i dance i should feel pretty
i workout every morning before and feel fabulous for it;joy;i latihan setiap pagi sebelumnya dan merasa luar biasa untuk itu
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain;sadness;aku merasakan semua ini hanya dari matanya bukan dari sentuhannya atau dari kata-katanya tapi dari matanya aku tahu bahwa aku yakin bisa mengembalikan cinta ini dan tahu bahwa itu tidak akan sia-sia
i was feeling fabulous until friday morning when i started to get these awful cramps at work;joy;i merasa luar biasa sampai Jumat pagi ketika saya mulai mendapatkan kram ini mengerikan di tempat kerja
i feel honoured to have been able to call them friends to share their brotherhood;joy;saya merasa terhormat telah mampu memanggil mereka teman untuk berbagi persaudaraan mereka
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town;fear;aku mulai merasa khawatir ketika awan hitam tebal badai ke langit di atas kota
i had stated to her the reason i feel so fearful is because i feel unsafe;fear;saya telah menyatakan kepadanya alasan saya merasa begitu takut adalah karena saya merasa tidak aman
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch;fear;i didnt merasa seperti mendapatkan terguncang bawah oleh tsa cukup belum jadi saya menarik off ke samping pada croissant kreatif untuk makan siang
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet;sadness;i masuk ke kelompok saya merasa benar-benar canggung dan overcompensate dengan terlalu banyak bicara atau dengan mendapatkan benar-benar tenang
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved;love;aku sangat senang akhirnya bertemu dengan teman yang akan bersamaku setiap saat terutama ketika aku kesepian teman yang tidak akan pernah mengecewakan aku teman yang akan meletakkan tangannya di sekitarku dan membuat aku merasa dicintai
i feel they are pretty safe on my blog img src http s;joy;i feel they are pretty safe on my blog img src http s
i feel pretty eager to get it done as i have a fun plan for quilting it;joy;i merasa cukup bersemangat untuk mendapatkannya dilakukan karena saya memiliki rencana yang menyenangkan untuk mengelak itu
i am feeling horny so i ask her that lets go home;love;saya merasa terangsang jadi saya bertanya padanya yang memungkinkan pulang
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love;fear;i think jika sebuah puisi tidak menempatkan tekanan pada saya i don t merasa tidak nyaman dalam perasaan lebih dari saya bisa merasa memahami lebih dari yang saya bisa mengerti mencintai lebih dari aku bisa jatuh cinta
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home;surprise;saya juga merasa seolah-olah saya orang asing di negeri asing dan saya membesarkan anak saya di tempat yang bukan rumah leluhur ayahnya
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful;joy;i kiri ke kamar mandi mempertanyakan apa yang saya rasa dia cantik seperti tubuh yang fantastis begitu percaya diri dalam gerakannya mudah anggun
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day;joy;i merasa energik dan melenting i m lebih dari senang untuk pergi ke gym berjalan-jalan di luar dengan anak-anak saya atau mengambil pram untuk berjalan-jalan panjang sering saya melakukan semua tiga dalam satu hari
i was still feeling strong;joy;i masih merasa kuat
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him;joy;i didn t meledak ke dalam air mata atau beberapa lain menghancurkan rilis perasaan atau pikiran karena saya tampaknya tahu bahwa kaya juga harus pergi melalui ruang sendiri tanpa aku hanya membuang pada dirinya
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter;anger;saya ingin mendapatkan labu spice latte pagi ini tapi itu panas dan hal terakhir yang saya inginkan adalah kopi panas mungkin saya merasa sedikit pahit
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it;fear;Saya kira dia merasa buruk karena ia sedikit skeptis rasa sakit selama beberapa bulan terakhir dia memiliki hiperchondria dan kebiasaan berlebihan di masa lalu meskipun ia tidak pernah terbuka mempertanyakannya tentang hal itu
i clench to the corners of the bed to feel assured;joy;i mengepalkan ke sudut tempat tidur merasa yakin
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it;anger;saya juga merasa seperti saya menjadi egois dalam tidak bersyukur untuk kehidupan yang saya miliki dan hal-hal yang menakjubkan di dalamnya
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question;love;i menyebutnya dewa karena saya d melihat Tuhan dalam buku dan pikir Tuhan adalah nama yang tepat untuk merasa begitu sepenuhnya menegaskan dan diterima tanpa pertanyaan
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious;anger;saya tidak tahu mengapa mungkin karena gadis-gadis lain di kantor memiliki rambut pendek yang bagus atau mungkin saya hanya merasa memberontak
i do not feel miserable at all because my family is not the type that celebrates eid;sadness;saya tidak merasa sengsara sama sekali karena keluarga saya bukan tipe yang merayakan eid
i might go get a car wash if i am feeling really generous my car needs it;joy;aku mungkin akan pergi mencuci mobil jika aku merasa benar-benar murah hati mobilku membutuhkannya
i still feel sleep deprived she is almost sleeping through the night giving us;sadness;aku masih merasa kurang tidur dia hampir tidur sepanjang malam memberi kita
i just feel really violent right now;anger;i hanya merasa benar-benar kekerasan sekarang
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we;joy;saya menulis blog lagi saya duduk di sini merasa konten dengan anjing saya amp kucing dll dan saya tahu bahwa betapa beruntungnya kita kebenaran adalah kita
i started feeling funny and then friday i woke up sick as a dog;surprise;i mulai merasa lucu dan kemudian Jumat saya bangun sakit sebagai anjing
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be;sadness;i feel a need to protect my parents against the witch hunt that pressure memory therapy can be
i feel disgusted to even be associated with this woman by my race and nationality;anger;i merasa jijik bahkan berhubungan dengan wanita ini oleh ras dan kebangsaan saya
i laughed then bitterly again but i wasnt feeling bitter;anger;aku tertawa kemudian pahit lagi tapi aku tidak merasa pahit
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever;sadness;aku tidak bisa tahu apa yang dia rasakan kemudian aku berpikir bahwa ia berharap dia bisa berada di sana dengan kami juga untuk masing-masing kita tahu bahwa bagaimanapun banyak kita membencinya pada awalnya itu adalah pengalaman kita akan ingat selamanya
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold;joy;i merasa cukup mellow dan saya ingin tampilan mudah lembut untuk memakai dengan awal saya dari dingin
i told him that maybe i just need time to think how ive been feeling indecisive about things lately;fear;aku mengatakan kepadanya bahwa mungkin aku hanya perlu waktu untuk berpikir bagaimana aku sudah merasa ragu tentang hal-hal akhir-akhir ini
i still feel it does the genre a disservice when stories are resolved artifically;joy;saya masih merasa itu tidak aliran kerugian ketika cerita diselesaikan secara artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed;joy;saya selalu tahu ketika saya merasa artistik ketika saya menulis nama saya sementara saya dalam suasana hati artistik i dalam manitz i menggambar lingkaran bukan titik semakin besar titik saya merasa lebih artistik dan jika itu hanya garis seperti tanda aksen di Spanyol Im marah
